linc_#,prop_class,area_city,community,address,status,list_price,postal_code,sold_date,sold_price,listing_id_#,dom,flrarea_sf,totflrarea,rooms_ag,bedrms_ag,beds,full_baths,half_baths,baths,ensuite,yr_built,style,front_exp,frontagem,fp_y_n,encl_park,parking,condo_name,construction_type,flooring,list_pr___sqft,#_finished_levels,cumulative_dom,cumulative_domls,days_on_mls,bsmt_dev,garage_y_n,price_per_sqft,sold_pr___list_pr_ratio,price,sold_price_sq_ft,buyer_firm_1_-_office_name,listing_firm_1_-_office_name,legal_block,legal_lot,lot_sq_metres,legal_plan,full_address,location,latitude,longitude
19407493,SF,Edmonton,Capilano,10815 50 Street,S,365000,T6A 2E3,2010-03-29,363000,E3214269,19,1120.41,104.09,6,3,3,2,0,2.0,N,1958,BUNG,E,0.0,Y,2,Double Garage Detached,,FRAME,"Ceramic Tile, Laminate Flooring",325.77,2,19,19,19,F-FIN,Yes,323.99,99.45,363000,323.99,RE/MAX Real Estate,Dunham Team Realty Inc,65,54,552.24,3002KS,"10815 50 Street, Edmonton, Alberta, Canada","10815, 50 Street NW, Capilano, Greater Hardisty, Edmonton, Alberta, T6A 2G7, Canada",53.5564005,-113.4182603
28597559,SF,Edmonton,Wild Rose,1918 37B Avenue,S,389800,T6T 1R8,2021-11-09,376500,E4266169,28,1521.48,141.35,7,3,3,1,1,1.1,N,2001,ST2,S,0.0,Y,2,Double Garage Attached,,FRAME,Vinyl Plank,256.2,2,140,140,28,U-FIN,Yes,247.46,96.59,376500,247.46,MaxWell Polaris,Royal LePage Noralta Real Estate,50,5,366.89,24159,"1918 37B Avenue, Edmonton, Alberta, Canada","37B Avenue NW, Tamarack, Fulton Meadows, The Meadows, Edmonton, Alberta, T6T 1H9, Canada",53.473762,-113.3653662
26716860,COND,Edmonton,Jackson Heights,114 1670 JAMHA Road NW,S,199700,T6L 7B3,2005-11-17,197700,E3044164,25,1772.81,164.7,6,3,3,2,1,2.1,Y,1997,ST3,W,0.0,Y,2,"Double Garage Attached, Front Drive Access",Tiffany Lane,FRAME,"Carpet, Hardwood, Linoleum",112.65,3,25,24,24,NBASE,Yes,111.52,99.0,197700,111.52,Royal Lepage Noralta Real Estate,RE/MAX Real Estate,14,,239.0,9621804,"114 1670 JAMHA Road NW, Edmonton, Alberta, Canada",,,
16378614,SF,Edmonton,Delwood,13444 DELWOOD Road,S,344900,T5C 3B8,2015-12-23,340000,E4002317,12,1114.06,103.5,6,3,5,2,0,2.0,N,1966,BUNG,SE,0.0,N,2,"Double Garage Detached, Over Sized, RV Parking",,FRAME,"Carpet, Laminate Flooring, Linoleum",309.59,2,122,116,8,F-FIN,Yes,305.19,98.58,340000,305.19,RE/MAX Excellence,MaxWell Progressive,23,22,0.0,1428NY,"13444 DELWOOD Road, Edmonton, Alberta, Canada","13444, Delwood Road NW, Delwood, Northern Mature Area, Edmonton, Alberta, T5E 2V2, Canada",53.5963592,-113.4615774
10219830,SF,Edmonton,Rhatigan Ridge,425 REEVES Crest NW,S,253000,T6R 2A4,2001-04-17,249000,E2107160,19,2174.31,202.0,8,3,3,3,1,3.1,Y,1988,ST2,NE,16.9,Y,2,Double Garage Attached,,FRAME,"Carpet, Ceramic Tile, Hardwood",116.36,3,19,19,19,F-FIN,Yes,114.52,98.42,249000,114.52,Royal Lepage Noralta Real Estate,Royal Lepage Noralta Real Estate,96,38,0.0,8822512,"425 REEVES Crest NW, Edmonton, Alberta, Canada",,,
0030510581,SF,Edmonton,Schonsee,16803 78 Street,S,445000,T5Z 3Y6,2023-07-17,428000,E4342653,51,1501.67,139.51,5,2,4,2,0,2.0,Y,2004,BLEVL,NW,0.0,N,2,Double Garage Attached,,FRAME,"Carpet, Ceramic Tile, Hardwood",296.34,2,51,51,51,F-FIN,Yes,285.02,96.18,428000,285.02,MaxWell Polaris,RE/MAX Real Estate,1,15,701.26,0423131,"16803 78 Street, Edmonton, Alberta, Canada","16803, 78 Street NW, Schonsee, Lake District, Edmonton, Alberta, T5Z 3S4, Canada",53.6293139,-113.462198
14548177,SF,Edmonton,Queen Mary Park,11302 110A Avenue,S,310000,T5H 1K3,2009-02-14,295000,E3173401,16,1264.76,117.5,7,3,5,2,0,2.0,N,1951,BUNG,S,0.0,N,2,"Double Garage Detached, Rear Drive Access, RV Parking",,FRAME,"Ceramic Tile, Linoleum, Wall to Wall Carpet",245.11,2,16,15,15,F-FIN,Yes,233.25,95.16,295000,233.25,MaxWell Challenge Realty,MaxWell Challenge Realty,14A,23,823.02,2109HW,"11302 110A Avenue, Edmonton, Alberta, Canada","11302, 110A Avenue NW, Queen Mary Park, Central Core, Edmonton, Alberta, T5G 0E1, Canada",53.5579175,-113.5161348
36413558,DUPLEX,Edmonton,Laurel,2504 22 Avenue NW,S,509800,T6T 0Y4,2024-12-30,490000,E4411644,66,1857.1,172.53,9,4,4,3,0,3.0,Y,2015,ST2,S,0.0,N,0,Double Garage Attached,,FRAME,"Ceramic Tile, Laminate Flooring, Wall to Wall Carpet",274.51,2,66,66,66,U-FIN,Yes,263.85,96.12,490000,263.85,MaxWell Devonshire Realty,RE/MAX Elite,1,6,279.81,1425229,"2504 22 Avenue NW, Edmonton, Alberta, Canada","22 Avenue NW, Laurel, The Meadows, Edmonton, Alberta, T6T 0R2, Canada",53.4528333,-113.3847133
29269339,COND,Edmonton,Terwillegar Towne,14 1090 TORY Road,S,439900,T5R 3C7,2019-05-30,427000,E4157344,13,1131.72,105.14,4,1,2,2,1,2.1,Y,2002,BUNG,S,0.0,Y,2,Double Garage Attached,Devonshire Village,FRAME,Hardwood,388.7,2,13,13,13,F-FIN,Yes,377.3,97.07,427000,377.3,Lange Realty Ltd,Schmidt Realty Group Inc,,,429.64,221578,"14 1090 TORY Road, Edmonton, Alberta, Canada",,,
16964603,SF,Edmonton,Holyrood,7604 92 Avenue,S,859000,T6C 1R4,2018-05-11,832544,E4106050,26,2368.06,220.0,7,3,3,2,1,2.1,Y,2014,ST2,SE,0.0,Y,2,"Double Garage Attached, Over Sized",,FRAME,"Carpet, Ceramic Tile, Vinyl Plank",362.74,2,117,113,23,U-FIN,Yes,351.57,96.92,832544,351.57,Realty Executives Encore,Century 21 Leading,21,17,0.0,5184HW,"7604 92 Avenue, Edmonton, Alberta, Canada","7604, 92 Avenue NW, Holyrood, Edmonton, Alberta, T6C 1W5, Canada",53.5270687,-113.4451787
12446647,SF,Edmonton,Windermere,216 WINDERMERE Drive,S,1500000,T6W 0S3,2013-03-15,1500000,E3327708,18,3140.91,291.8,7,2,5,3,1,3.1,Y,1989,BUNG,E,0.0,Y,3,"Front Drive Access, Heated, Insulated, Over Sized, Triple Garage Attached",,FRAME,"Ceramic Tile, Hardwood, Wall to Wall Carpet",477.57,2,18,18,18,F-FIN,Yes,477.57,100.0,1500000,477.57,Royal Lepage Preferred Real Estate,Century 21 Platinum Realty,2,28,4099.86,2301MC,"216 WINDERMERE Drive, Edmonton, Alberta, Canada","Windermere Drive NW, Windermere Neighbourhood, Windermere, Edmonton, Alberta, T6W 3G4, Canada",53.4446547,-113.6231102
